scenario,n,kernel,mae,rmse,r2,rmse_log,r2_log
r_K,20,inverse_multiquadric,58879.58084928634,99512.14228088623,0.792711508646516,0.48372372930856466,0.7335306170094456
r_K,40,gaussian,37128.30868200242,55378.844464833805,0.9358035787378582,0.31001958409945024,0.8905462135792238
r_K,40,multiquadric,39342.3284614213,66654.47759002344,0.9070002679770561,0.3367598316054374,0.870850390075477
r_K,40,inverse_multiquadric,38173.7506805094,65578.97564329977,0.9099772456644784,0.32681972602910864,0.8783620605388736
r_K,80,gaussian,30254.230297794682,50610.08379362454,0.9463836615506775,0.2952345783212144,0.9007370965629438
r_K,80,multiquadric,30645.951984313597,56776.13689168976,0.9325231628094874,0.32277875891138924,0.881351452423962
r_K,80,inverse_multiquadric,26819.88588828077,53726.36551491686,0.939577601060778,0.4111844327475784,0.8074578310927001
r_a1_a2,5,gaussian,77415.9073103243,93226.06232375231,0.13346036780704418,0.7125474635655142,0.05934595676422294
r_a1_a2,5,multiquadric,73445.0032447621,89843.93306450942,0.19519389917897356,0.656198819663217,0.20223823191804946
r_a1_a2,5,inverse_multiquadric,75831.79377633933,91041.46187961406,0.17359641207427667,0.6866371331262212,0.1265120822843323
r_a1_a2,10,gaussian,70477.4569861727,93454.28440486132,0.1292125096277137,0.7071901428719732,0.07343748386466875
r_a1_a2,10,multiquadric,69332.70147642368,88694.4083462222,0.2156566284749153,0.6738409193782394,0.1587654713642429
r_a1_a2,10,inverse_multiquadric,68252.01790646873,88656.03263187563,0.21633521072283945,0.6751037351844789,0.15560947517386192
r_a1_a2,20,gaussian,48346.17993491754,64912.22789881965,0.5798863631883249,0.4796633872029122,0.5737391275251886
r_a1_a2,20,multiquadric,46758.02597553739,60790.78471552684,0.6315409333567881,0.4443559938667957,0.6341825525902467
r_a1_a2,20,inverse_multiquadric,45032.875751733445,60203.920109420316,0.6386206851308915,0.4521810903853041,0.6211850386755122
r_a1_a2,40,gaussian,35285.84012350458,49039.657741048955,0.7602223996116457,0.2857220375212207,0.8487519421803005
r_a1_a2,40,multiquadric,36192.20082636137,47432.36626449003,0.7756824099686823,0.27735035047644946,0.8574852656366521
r_a1_a2,40,inverse_multiquadric,35946.7659959202,47850.292052025514,0.7717120783414049,0.2924377857402544,0.8415583693625707
r_a1_a2,80,gaussian,45647.008358296596,69567.39578536771,0.5174689764275613,0.38766585285687655,0.7215691031756557
r_a1_a2,80,multiquadric,43842.389647742,64714.02367623621,0.5824480121403702,0.3745811198947342,0.7400474409577975
r_a1_a2,80,inverse_multiquadric,40932.182169187705,62165.608758451046,0.6146865843315341,0.3587048672938002,0.7616161283340579
